State,2020,2010,2000,1990
Alabama,57243,50975,55888,47092
Alaska,78236,72039,83377,79231
Arizona,70220,58400,62766,58921
Arkansas,53148,48053,46853,45940
California,81278,67600,73862,67118
Florida,55836,59787,52678,51393
Georgia,58058,63871,60388,50685
Hawaii,73778,82868,75888,69737
Idaho,59037,61437,57868,49992
Illinois,69088,67308,67423,59886
Indiana,59447,59018,59124,54601
Iowa,69593,64669,62903,50392
Colorado,76159,70161,72089,67861
Connecticut,83355,79042,71269,74864
Delaware,66049,71254,61857,55335
Columbia,80133,62573,54454,50750
Kansas,76495,57352,64779,60318
Kentucky,59405,51188,57215,49961
Louisiana,53576,48941,48464,45172
Maine,66667,59689,58795,55372
Maryland,99215,79951,86040,78342
Massachusetts,91912,75882,73762,73080
Michigan,67399,57628,71804,60358
Minnesota,82431,65156,85592,63439
Mississippi,47242,47521,54113,40682
Missouri,65081,57057,71149,55106
Montana,59390,51407,51712,47128
Nebraska,75622,65384,65869,55408
Nevada,64020,63760,72192,64564
New Hampshire,93045,82979,80346,82270
New Jersey,89543,78415,79524,78094
New Mexico,53283,56206,55366,50483
New York,71865,61993,64282,63693
North Carolina,63252,54582,60453,53084
North Dakota,67109,63519,56791,50937
Ohio,63198,57143,67781,60511
Oklahoma,54921,53677,51168,49162
Oregon,80443,63016,67051,59035
Pennsylvania,74094,60166,66541,58479
Rhode Island,83918,64287,66574,64453
South Carolina,63159,51927,59274,57935
South Dakota,73467,56478,57547,49539
Tennessee,57542,48058,53793,45549
Texas,71599,58861,60913,56912
Utah,87915,70611,75020,60771
Vermont,70398,69648,62467,62699
Virginia,86053,75176,74409,70713
Washington,85157,69941,67092,64743
West Virginia,54396,53271,46402,44632
Wisconsin,70553,62703,71135,61919
Wyoming,68506,65007,62523,59396
